,repository,number,url,date,state,package,from,to,vulnerabilities,severities,maximal_severity
1139,genouest/genouestaccountmanager,172,https://github.com/genouest/genouestaccountmanager/pull/172,2020-04-30T00:45:17Z,CLOSED,jquery,3.3.1,3.5.0,"['GHSA-jpcq-cgw6-v4j6', 'GHSA-gxr4-xjj5-5px2', 'GHSA-6c3j-c64m-qhgq', 'GHSA-wv67-q8rr-grjp']","['MODERATE', 'MODERATE', 'MODERATE', 'MODERATE']",MODERATE
1140,Netflix/pollyjs,228,https://github.com/Netflix/pollyjs/pull/228,2019-07-14T19:35:39Z,MERGED,lodash,3.8.0,4.17.14,"['GHSA-jf85-cpcp-j695', 'GHSA-4xc9-xhrj-v574', 'GHSA-fvqr-27wr-82fm']","['HIGH', 'HIGH', 'LOW']",HIGH
1141,Netflix/pollyjs,229,https://github.com/Netflix/pollyjs/pull/229,2019-07-14T19:35:57Z,MERGED,lodash.merge,4.6.1,4.6.2,['GHSA-jf85-cpcp-j695'],['HIGH'],HIGH
1142,Netflix/pollyjs,230,https://github.com/Netflix/pollyjs/pull/230,2019-07-14T19:36:01Z,MERGED,lodash.defaultsdeep,4.6.0,4.6.1,['GHSA-jf85-cpcp-j695'],['HIGH'],HIGH
1143,Netflix/pollyjs,231,https://github.com/Netflix/pollyjs/pull/231,2019-07-16T11:33:14Z,MERGED,handlebars,4.0.11,4.1.2,['GHSA-q42p-pg8m-cqh6'],['CRITICAL'],CRITICAL
1144,Netflix/pollyjs,250,https://github.com/Netflix/pollyjs/pull/250,2019-09-12T07:51:54Z,MERGED,tar,2.2.1,2.2.2,['GHSA-j44m-qm6p-hp7m'],['HIGH'],HIGH
1145,segmentio/analytics.js-integrations,197,https://github.com/segmentio/analytics.js-integrations/pull/197,2019-08-27T05:06:14Z,CLOSED,eslint-utils,1.3.1,1.4.2,['GHSA-3gx7-xhv7-5mx3'],['CRITICAL'],CRITICAL
1146,segmentio/analytics.js-integrations,389,https://github.com/segmentio/analytics.js-integrations/pull/389,2019-12-29T08:15:04Z,CLOSED,handlebars,4.1.2,4.5.3,['GHSA-w457-6q6x-cgp9'],['HIGH'],HIGH
1147,segmentio/analytics.js-integrations,441,https://github.com/segmentio/analytics.js-integrations/pull/441,2020-03-15T09:14:16Z,OPEN,acorn,5.7.3,5.7.4,['GHSA-6chw-6frg-f759'],['MODERATE'],MODERATE
1148,segmentio/analytics.js-integrations,459,https://github.com/segmentio/analytics.js-integrations/pull/459,2020-04-16T17:29:16Z,OPEN,https-proxy-agent,2.2.1,2.2.4,['GHSA-pc5p-h8pf-mvwp'],['HIGH'],HIGH
1149,mozilla/Spoke,930,https://github.com/mozilla/Spoke/pull/930,2020-03-14T01:03:36Z,MERGED,acorn,6.2.1,6.4.1,['GHSA-6chw-6frg-f759'],['MODERATE'],MODERATE
1150,mozilla/Spoke,955,https://github.com/mozilla/Spoke/pull/955,2020-04-16T19:04:32Z,CLOSED,https-proxy-agent,2.2.2,2.2.4,['GHSA-pc5p-h8pf-mvwp'],['HIGH'],HIGH
1151,Simonwep/pickr,197,https://github.com/Simonwep/pickr/pull/197,2020-03-13T21:46:52Z,MERGED,acorn,6.4.0,6.4.1,['GHSA-6chw-6frg-f759'],['MODERATE'],MODERATE
1152,asterics/AsTeRICS-Grid,41,https://github.com/asterics/AsTeRICS-Grid/pull/41,2020-03-18T11:40:36Z,MERGED,acorn,5.7.3,5.7.4,['GHSA-6chw-6frg-f759'],['MODERATE'],MODERATE
1153,vtex-apps/store,326,https://github.com/vtex-apps/store/pull/326,2019-08-26T23:07:52Z,CLOSED,eslint-utils,1.3.1,1.4.2,['GHSA-3gx7-xhv7-5mx3'],['CRITICAL'],CRITICAL
1154,vtex-apps/store,331,https://github.com/vtex-apps/store/pull/331,2019-08-28T23:44:51Z,CLOSED,mixin-deep,1.3.1,1.3.2,['GHSA-fhjf-83wg-r2j9'],['HIGH'],HIGH
1155,vtex-apps/store,399,https://github.com/vtex-apps/store/pull/399,2019-12-28T00:44:24Z,CLOSED,handlebars,4.2.0,4.5.3,['GHSA-w457-6q6x-cgp9'],['HIGH'],HIGH
1156,vtex-apps/store,438,https://github.com/vtex-apps/store/pull/438,2020-03-14T02:25:10Z,MERGED,acorn,5.7.3,5.7.4,['GHSA-6chw-6frg-f759'],['MODERATE'],MODERATE
1157,vtex-apps/store,439,https://github.com/vtex-apps/store/pull/439,2020-03-14T15:51:59Z,MERGED,acorn,7.1.0,7.1.1,['GHSA-6chw-6frg-f759'],['MODERATE'],MODERATE
1158,vtex-apps/store,453,https://github.com/vtex-apps/store/pull/453,2020-04-23T22:42:02Z,MERGED,handlebars,4.2.0,4.7.6,['GHSA-w457-6q6x-cgp9'],['HIGH'],HIGH
1167,CityOfPhiladelphia/phila.gov-router,401,https://github.com/CityOfPhiladelphia/phila.gov-router/pull/401,2020-01-22T18:06:06Z,MERGED,mixin-deep,1.3.1,1.3.2,['GHSA-fhjf-83wg-r2j9'],['HIGH'],HIGH
1168,CityOfPhiladelphia/phila.gov-router,402,https://github.com/CityOfPhiladelphia/phila.gov-router/pull/402,2020-01-22T18:06:08Z,MERGED,handlebars,4.1.2,4.7.2,['GHSA-w457-6q6x-cgp9'],['HIGH'],HIGH
1169,CityOfPhiladelphia/phila.gov-router,449,https://github.com/CityOfPhiladelphia/phila.gov-router/pull/449,2020-03-14T22:45:09Z,MERGED,acorn,5.7.3,5.7.4,['GHSA-6chw-6frg-f759'],['MODERATE'],MODERATE
1170,CityOfPhiladelphia/phila.gov-router,493,https://github.com/CityOfPhiladelphia/phila.gov-router/pull/493,2020-04-16T06:48:36Z,OPEN,https-proxy-agent,2.2.1,2.2.4,['GHSA-pc5p-h8pf-mvwp'],['HIGH'],HIGH
1171,CityOfPhiladelphia/phila.gov-router,498,https://github.com/CityOfPhiladelphia/phila.gov-router/pull/498,2020-04-24T16:53:51Z,CLOSED,acorn,5.7.3,5.7.4,['GHSA-6chw-6frg-f759'],['MODERATE'],MODERATE
1172,guidokessels/xwing-data2,277,https://github.com/guidokessels/xwing-data2/pull/277,2019-07-04T18:59:34Z,CLOSED,handlebars,4.0.12,4.1.2,['GHSA-q42p-pg8m-cqh6'],['CRITICAL'],CRITICAL
1173,guidokessels/xwing-data2,301,https://github.com/guidokessels/xwing-data2/pull/301,2019-08-02T14:01:12Z,MERGED,js-yaml,3.12.1,3.13.1,"['GHSA-2pr6-76vf-7546', 'GHSA-8j8c-7jfh-h6hx']","['MODERATE', 'HIGH']",HIGH
1174,guidokessels/xwing-data2,315,https://github.com/guidokessels/xwing-data2/pull/315,2019-09-02T19:36:15Z,MERGED,mixin-deep,1.3.1,1.3.2,['GHSA-fhjf-83wg-r2j9'],['HIGH'],HIGH
1175,guidokessels/xwing-data2,327,https://github.com/guidokessels/xwing-data2/pull/327,2019-12-28T09:38:21Z,MERGED,handlebars,4.0.12,4.5.3,"['GHSA-w457-6q6x-cgp9', 'GHSA-q42p-pg8m-cqh6']","['HIGH', 'CRITICAL']",CRITICAL
1176,guidokessels/xwing-data2,346,https://github.com/guidokessels/xwing-data2/pull/346,2020-03-13T23:37:31Z,MERGED,acorn,6.0.5,6.4.1,['GHSA-6chw-6frg-f759'],['MODERATE'],MODERATE
1177,bytedance/xgplayer,269,https://github.com/bytedance/xgplayer/pull/269,2019-11-02T03:12:32Z,CLOSED,webpack-dev-server,2.11.5,3.9.0,['GHSA-cf66-xwfp-gvc4'],['HIGH'],HIGH
1178,GuacLive/guac-web,13,https://github.com/GuacLive/guac-web/pull/13,2019-08-28T22:35:48Z,CLOSED,mixin-deep,1.3.1,1.3.2,['GHSA-fhjf-83wg-r2j9'],['HIGH'],HIGH
1179,GuacLive/guac-web,211,https://github.com/GuacLive/guac-web/pull/211,2020-03-13T22:37:18Z,MERGED,acorn,5.7.3,5.7.4,['GHSA-6chw-6frg-f759'],['MODERATE'],MODERATE
1180,your-digital-rights/yourdigitalrights.org,115,https://github.com/your-digital-rights/yourdigitalrights.org/pull/115,2019-10-30T15:12:31Z,MERGED,mixin-deep,1.3.1,1.3.2,['GHSA-fhjf-83wg-r2j9'],['HIGH'],HIGH
1181,your-digital-rights/yourdigitalrights.org,140,https://github.com/your-digital-rights/yourdigitalrights.org/pull/140,2020-03-31T06:22:07Z,CLOSED,next,6.1.2,9.3.2,['GHSA-fq77-7p7r-83rj'],['MODERATE'],MODERATE
1182,orbs-network/orbs-ethereum-contracts-v1,146,https://github.com/orbs-network/orbs-ethereum-contracts-v1/pull/146,2019-11-07T11:32:59Z,OPEN,eslint-utils,1.3.1,1.4.3,['GHSA-3gx7-xhv7-5mx3'],['CRITICAL'],CRITICAL
1183,orbs-network/orbs-ethereum-contracts-v1,147,https://github.com/orbs-network/orbs-ethereum-contracts-v1/pull/147,2019-11-07T11:33:02Z,OPEN,eslint-utils,1.3.1,1.4.3,['GHSA-3gx7-xhv7-5mx3'],['CRITICAL'],CRITICAL
1184,orbs-network/orbs-ethereum-contracts-v1,148,https://github.com/orbs-network/orbs-ethereum-contracts-v1/pull/148,2019-11-07T11:33:05Z,CLOSED,handlebars,4.0.12,4.5.1,['GHSA-q42p-pg8m-cqh6'],['CRITICAL'],CRITICAL
1185,orbs-network/orbs-ethereum-contracts-v1,149,https://github.com/orbs-network/orbs-ethereum-contracts-v1/pull/149,2019-11-07T11:33:12Z,OPEN,mixin-deep,1.3.1,1.3.2,['GHSA-fhjf-83wg-r2j9'],['HIGH'],HIGH
1186,orbs-network/orbs-ethereum-contracts-v1,152,https://github.com/orbs-network/orbs-ethereum-contracts-v1/pull/152,2019-12-28T01:49:57Z,CLOSED,handlebars,4.1.0,4.5.3,"['GHSA-w457-6q6x-cgp9', 'GHSA-q42p-pg8m-cqh6']","['HIGH', 'CRITICAL']",CRITICAL
1187,orbs-network/orbs-ethereum-contracts-v1,153,https://github.com/orbs-network/orbs-ethereum-contracts-v1/pull/153,2019-12-28T04:24:56Z,CLOSED,handlebars,4.1.1,4.5.3,"['GHSA-w457-6q6x-cgp9', 'GHSA-q42p-pg8m-cqh6']","['HIGH', 'CRITICAL']",CRITICAL
1188,orbs-network/orbs-ethereum-contracts-v1,154,https://github.com/orbs-network/orbs-ethereum-contracts-v1/pull/154,2019-12-28T05:49:40Z,CLOSED,handlebars,4.0.12,4.5.3,"['GHSA-w457-6q6x-cgp9', 'GHSA-q42p-pg8m-cqh6']","['HIGH', 'CRITICAL']",CRITICAL
1189,orbs-network/orbs-ethereum-contracts-v1,155,https://github.com/orbs-network/orbs-ethereum-contracts-v1/pull/155,2019-12-29T17:12:13Z,CLOSED,handlebars,4.1.2,4.5.3,['GHSA-w457-6q6x-cgp9'],['HIGH'],HIGH
1190,orbs-network/orbs-ethereum-contracts-v1,193,https://github.com/orbs-network/orbs-ethereum-contracts-v1/pull/193,2020-03-15T09:36:32Z,OPEN,acorn,6.1.1,6.4.1,['GHSA-6chw-6frg-f759'],['MODERATE'],MODERATE
1191,orbs-network/orbs-ethereum-contracts-v1,194,https://github.com/orbs-network/orbs-ethereum-contracts-v1/pull/194,2020-03-15T09:37:17Z,OPEN,acorn,6.1.1,6.4.1,['GHSA-6chw-6frg-f759'],['MODERATE'],MODERATE
1192,orbs-network/orbs-ethereum-contracts-v1,195,https://github.com/orbs-network/orbs-ethereum-contracts-v1/pull/195,2020-03-15T09:37:29Z,OPEN,acorn,6.2.1,6.4.1,['GHSA-6chw-6frg-f759'],['MODERATE'],MODERATE
1193,orbs-network/orbs-ethereum-contracts-v1,197,https://github.com/orbs-network/orbs-ethereum-contracts-v1/pull/197,2020-04-05T07:15:49Z,OPEN,acorn,5.7.3,5.7.4,['GHSA-6chw-6frg-f759'],['MODERATE'],MODERATE
1194,orbs-network/orbs-ethereum-contracts-v1,199,https://github.com/orbs-network/orbs-ethereum-contracts-v1/pull/199,2020-04-05T09:35:48Z,OPEN,acorn,5.7.3,5.7.4,['GHSA-6chw-6frg-f759'],['MODERATE'],MODERATE
1195,orbs-network/orbs-ethereum-contracts-v1,201,https://github.com/orbs-network/orbs-ethereum-contracts-v1/pull/201,2020-04-16T11:56:43Z,OPEN,https-proxy-agent,2.2.1,2.2.4,['GHSA-pc5p-h8pf-mvwp'],['HIGH'],HIGH
1196,integrations/jira,293,https://github.com/integrations/jira/pull/293,2019-11-01T22:55:51Z,MERGED,sequelize,4.37.10,5.15.1,['GHSA-m9jw-237r-gvfv'],['HIGH'],HIGH
1197,integrations/jira,299,https://github.com/integrations/jira/pull/299,2019-11-27T20:35:41Z,MERGED,extend,3.0.1,3.0.2,['GHSA-qrmc-fj45-qfc2'],['MODERATE'],MODERATE
1198,integrations/jira,336,https://github.com/integrations/jira/pull/336,2020-04-17T15:16:18Z,CLOSED,acorn,5.6.2,5.7.4,['GHSA-6chw-6frg-f759'],['MODERATE'],MODERATE
