,repository,number,url,date,state,package,from,to,vulnerabilities,severities,maximal_severity
0,b2wads/grimorio-ui,74,https://github.com/b2wads/grimorio-ui/pull/74,2019-10-10T19:21:58Z,CLOSED,webpack-bundle-analyzer,3.0.3,3.3.2,['GHSA-pgr8-jg6h-8gw6'],['MODERATE'],MODERATE
1,b2wads/grimorio-ui,107,https://github.com/b2wads/grimorio-ui/pull/107,2020-01-06T16:47:21Z,MERGED,handlebars,4.1.2,4.5.3,['GHSA-w457-6q6x-cgp9'],['HIGH'],HIGH
2,idena-network/idena-desktop,1,https://github.com/idena-network/idena-desktop/pull/1,2019-06-29T11:57:09Z,MERGED,js-yaml,3.12.1,3.13.1,"['GHSA-2pr6-76vf-7546', 'GHSA-8j8c-7jfh-h6hx']","['MODERATE', 'HIGH']",HIGH
3,idena-network/idena-desktop,3,https://github.com/idena-network/idena-desktop/pull/3,2019-07-15T13:01:58Z,MERGED,lodash,4.17.11,4.17.14,['GHSA-jf85-cpcp-j695'],['HIGH'],HIGH
4,idena-network/idena-desktop,35,https://github.com/idena-network/idena-desktop/pull/35,2019-09-11T10:02:08Z,CLOSED,mixin-deep,1.3.1,1.3.2,['GHSA-fhjf-83wg-r2j9'],['HIGH'],HIGH
5,idena-network/idena-desktop,36,https://github.com/idena-network/idena-desktop/pull/36,2019-09-11T10:02:13Z,CLOSED,eslint-utils,1.3.1,1.4.2,['GHSA-3gx7-xhv7-5mx3'],['CRITICAL'],CRITICAL
6,idena-network/idena-desktop,183,https://github.com/idena-network/idena-desktop/pull/183,2020-03-14T23:26:13Z,MERGED,acorn,5.7.3,5.7.4,['GHSA-6chw-6frg-f759'],['MODERATE'],MODERATE
7,idena-network/idena-desktop,215,https://github.com/idena-network/idena-desktop/pull/215,2020-03-31T12:14:36Z,CLOSED,next,9.3.1,9.3.2,['GHSA-fq77-7p7r-83rj'],['MODERATE'],MODERATE
8,rand256/valetudo,7,https://github.com/rand256/valetudo/pull/7,2019-07-13T13:49:01Z,CLOSED,mqtt-packet,5.6.0,5.6.1,['GHSA-wv67-9jq7-8r69'],['HIGH'],HIGH
9,vpython/glowscript,73,https://github.com/vpython/glowscript/pull/73,2020-04-05T12:29:36Z,CLOSED,acorn,5.1.2,7.1.1,['GHSA-6chw-6frg-f759'],['MODERATE'],MODERATE
10,hive-engine/nitrous,5,https://github.com/hive-engine/nitrous/pull/5,2019-06-01T21:24:10Z,MERGED,axios,0.18.0,0.18.1,['GHSA-42xw-2xvc-qx8m'],['MODERATE'],MODERATE
11,hive-engine/nitrous,6,https://github.com/hive-engine/nitrous/pull/6,2019-06-05T03:07:32Z,MERGED,sshpk,1.13.1,1.16.1,['GHSA-2m39-62fm-q8r3'],['HIGH'],HIGH
12,hive-engine/nitrous,7,https://github.com/hive-engine/nitrous/pull/7,2019-06-06T21:34:13Z,MERGED,handlebars,4.0.11,4.1.2,['GHSA-q42p-pg8m-cqh6'],['CRITICAL'],CRITICAL
13,hive-engine/nitrous,10,https://github.com/hive-engine/nitrous/pull/10,2019-06-15T19:53:28Z,MERGED,underscore.string,3.3.4,3.3.5,['GHSA-v2p6-4mp7-3r9v'],['MODERATE'],MODERATE
14,hive-engine/nitrous,11,https://github.com/hive-engine/nitrous/pull/11,2019-06-15T19:53:46Z,MERGED,macaddress,0.2.8,0.2.9,['GHSA-pp57-mqmh-44h7'],['CRITICAL'],CRITICAL
15,hive-engine/nitrous,172,https://github.com/hive-engine/nitrous/pull/172,2019-10-10T07:37:04Z,MERGED,diff,3.4.0,3.5.0,['GHSA-h6ch-v84p-w6p9'],['HIGH'],HIGH
16,hive-engine/nitrous,175,https://github.com/hive-engine/nitrous/pull/175,2019-10-25T22:49:36Z,MERGED,lodash.mergewith,4.6.1,4.6.2,['GHSA-jf85-cpcp-j695'],['HIGH'],HIGH
17,hive-engine/nitrous,197,https://github.com/hive-engine/nitrous/pull/197,2019-12-28T10:57:07Z,MERGED,handlebars,4.1.2,4.5.3,['GHSA-w457-6q6x-cgp9'],['HIGH'],HIGH
18,hive-engine/nitrous,227,https://github.com/hive-engine/nitrous/pull/227,2020-03-21T23:14:47Z,CLOSED,minimist,1.2.0,1.2.2,['GHSA-vh95-rmgr-6w4m'],['LOW'],LOW
19,hive-engine/nitrous,229,https://github.com/hive-engine/nitrous/pull/229,2020-04-05T15:22:44Z,OPEN,minimist,1.2.0,1.2.3,['GHSA-vh95-rmgr-6w4m'],['LOW'],LOW
20,hive-engine/nitrous,234,https://github.com/hive-engine/nitrous/pull/234,2020-04-30T04:09:44Z,MERGED,jquery,3.4.1,3.5.0,"['GHSA-jpcq-cgw6-v4j6', 'GHSA-gxr4-xjj5-5px2']","['MODERATE', 'MODERATE']",MODERATE
21,grommet/grommet-designer,50,https://github.com/grommet/grommet-designer/pull/50,2020-03-15T07:12:14Z,CLOSED,minimist,1.2.0,1.2.5,['GHSA-vh95-rmgr-6w4m'],['LOW'],LOW
22,airswap/AirSwap.js,42,https://github.com/airswap/AirSwap.js/pull/42,2019-06-06T18:31:23Z,MERGED,handlebars,4.0.12,4.1.2,['GHSA-q42p-pg8m-cqh6'],['CRITICAL'],CRITICAL
23,airswap/AirSwap.js,54,https://github.com/airswap/AirSwap.js/pull/54,2019-06-21T11:18:31Z,MERGED,eslint,4.15.0,4.18.2,['GHSA-jcgq-xh2f-2hfm'],['LOW'],LOW
24,airswap/AirSwap.js,91,https://github.com/airswap/AirSwap.js/pull/91,2019-07-17T17:03:51Z,MERGED,lodash.merge,4.6.1,4.6.2,['GHSA-jf85-cpcp-j695'],['HIGH'],HIGH
25,airswap/AirSwap.js,92,https://github.com/airswap/AirSwap.js/pull/92,2019-07-17T17:04:20Z,MERGED,lodash-es,4.17.11,4.17.14,['GHSA-jf85-cpcp-j695'],['HIGH'],HIGH
26,airswap/AirSwap.js,93,https://github.com/airswap/AirSwap.js/pull/93,2019-07-17T17:04:25Z,MERGED,lodash,4.17.11,4.17.13,['GHSA-jf85-cpcp-j695'],['HIGH'],HIGH
27,airswap/AirSwap.js,94,https://github.com/airswap/AirSwap.js/pull/94,2019-07-18T15:56:42Z,MERGED,lodash,4.17.13,4.17.14,[],[],
28,wordproof/wordproof-timestamp,7,https://github.com/wordproof/wordproof-timestamp/pull/7,2019-10-28T15:50:08Z,CLOSED,eslint-utils,1.3.1,1.4.3,['GHSA-3gx7-xhv7-5mx3'],['CRITICAL'],CRITICAL
29,wordproof/wordproof-timestamp,10,https://github.com/wordproof/wordproof-timestamp/pull/10,2020-03-14T07:37:07Z,CLOSED,acorn,6.4.0,6.4.1,['GHSA-6chw-6frg-f759'],['MODERATE'],MODERATE
30,JuanIrache/gopro-telemetry,91,https://github.com/JuanIrache/gopro-telemetry/pull/91,2019-12-28T10:52:52Z,MERGED,handlebars,4.1.2,4.5.3,['GHSA-w457-6q6x-cgp9'],['HIGH'],HIGH
31,linode/developers,179,https://github.com/linode/developers/pull/179,2020-04-04T21:46:12Z,CLOSED,minimist,0.0.8,1.2.5,['GHSA-vh95-rmgr-6w4m'],['LOW'],LOW
32,mobxjs/mst-gql,137,https://github.com/mobxjs/mst-gql/pull/137,2019-11-02T00:03:49Z,MERGED,sequelize,5.8.6,5.15.1,['GHSA-m9jw-237r-gvfv'],['HIGH'],HIGH
33,mobxjs/mst-gql,143,https://github.com/mobxjs/mst-gql/pull/143,2019-11-20T22:10:35Z,MERGED,lodash.merge,4.6.1,4.6.2,['GHSA-jf85-cpcp-j695'],['HIGH'],HIGH
34,mobxjs/mst-gql,144,https://github.com/mobxjs/mst-gql/pull/144,2019-11-20T22:10:39Z,MERGED,mixin-deep,1.3.1,1.3.2,['GHSA-fhjf-83wg-r2j9'],['HIGH'],HIGH
35,mobxjs/mst-gql,145,https://github.com/mobxjs/mst-gql/pull/145,2019-11-20T22:10:40Z,CLOSED,yarn,1.15.2,1.19.1,['GHSA-wqfc-cr59-h64p'],['HIGH'],HIGH
36,mobxjs/mst-gql,146,https://github.com/mobxjs/mst-gql/pull/146,2019-11-20T22:10:41Z,MERGED,yarn,1.16.0,1.19.1,['GHSA-wqfc-cr59-h64p'],['HIGH'],HIGH
37,mobxjs/mst-gql,147,https://github.com/mobxjs/mst-gql/pull/147,2019-11-20T22:10:42Z,MERGED,lodash.template,4.4.0,4.5.0,['GHSA-jf85-cpcp-j695'],['HIGH'],HIGH
38,mobxjs/mst-gql,148,https://github.com/mobxjs/mst-gql/pull/148,2019-11-20T22:10:43Z,MERGED,lodash.template,4.4.0,4.5.0,['GHSA-jf85-cpcp-j695'],['HIGH'],HIGH
39,mobxjs/mst-gql,154,https://github.com/mobxjs/mst-gql/pull/154,2019-12-07T00:29:14Z,MERGED,serialize-to-js,3.0.0,3.0.1,['GHSA-3fjq-93xj-3f3f'],['MODERATE'],MODERATE
40,mobxjs/mst-gql,159,https://github.com/mobxjs/mst-gql/pull/159,2019-12-28T09:24:11Z,CLOSED,handlebars,4.1.2,4.5.3,['GHSA-w457-6q6x-cgp9'],['HIGH'],HIGH
41,mobxjs/mst-gql,160,https://github.com/mobxjs/mst-gql/pull/160,2019-12-28T09:50:42Z,MERGED,handlebars,4.1.2,4.5.3,['GHSA-w457-6q6x-cgp9'],['HIGH'],HIGH
42,mobxjs/mst-gql,161,https://github.com/mobxjs/mst-gql/pull/161,2019-12-28T10:29:44Z,MERGED,handlebars,4.1.2,4.5.3,['GHSA-w457-6q6x-cgp9'],['HIGH'],HIGH
43,mobxjs/mst-gql,167,https://github.com/mobxjs/mst-gql/pull/167,2020-02-14T23:45:30Z,CLOSED,yarn,1.15.2,1.22.0,"['GHSA-5xf4-f2fq-f69j', 'GHSA-wqfc-cr59-h64p']","['MODERATE', 'HIGH']",HIGH
44,mobxjs/mst-gql,168,https://github.com/mobxjs/mst-gql/pull/168,2020-02-14T23:46:24Z,CLOSED,yarn,1.17.3,1.22.0,['GHSA-5xf4-f2fq-f69j'],['MODERATE'],MODERATE
45,mobxjs/mst-gql,169,https://github.com/mobxjs/mst-gql/pull/169,2020-02-14T23:46:46Z,CLOSED,yarn,1.19.1,1.22.0,['GHSA-5xf4-f2fq-f69j'],['MODERATE'],MODERATE
46,mobxjs/mst-gql,170,https://github.com/mobxjs/mst-gql/pull/170,2020-02-14T23:48:06Z,CLOSED,yarn,1.19.1,1.22.0,['GHSA-5xf4-f2fq-f69j'],['MODERATE'],MODERATE
47,mobxjs/mst-gql,171,https://github.com/mobxjs/mst-gql/pull/171,2020-02-14T23:48:20Z,CLOSED,yarn,1.17.3,1.22.0,['GHSA-5xf4-f2fq-f69j'],['MODERATE'],MODERATE
48,mobxjs/mst-gql,172,https://github.com/mobxjs/mst-gql/pull/172,2020-02-15T00:02:44Z,CLOSED,yarn,1.17.3,1.22.0,['GHSA-5xf4-f2fq-f69j'],['MODERATE'],MODERATE
49,mobxjs/mst-gql,176,https://github.com/mobxjs/mst-gql/pull/176,2020-03-14T16:27:10Z,CLOSED,acorn,5.7.3,5.7.4,['GHSA-6chw-6frg-f759'],['MODERATE'],MODERATE
50,mobxjs/mst-gql,177,https://github.com/mobxjs/mst-gql/pull/177,2020-03-14T16:37:12Z,CLOSED,acorn,5.7.3,5.7.4,['GHSA-6chw-6frg-f759'],['MODERATE'],MODERATE
51,mobxjs/mst-gql,178,https://github.com/mobxjs/mst-gql/pull/178,2020-03-14T17:01:34Z,CLOSED,acorn,5.7.3,5.7.4,['GHSA-6chw-6frg-f759'],['MODERATE'],MODERATE
52,mobxjs/mst-gql,179,https://github.com/mobxjs/mst-gql/pull/179,2020-03-14T17:28:10Z,CLOSED,acorn,5.7.3,5.7.4,['GHSA-6chw-6frg-f759'],['MODERATE'],MODERATE
53,mobxjs/mst-gql,180,https://github.com/mobxjs/mst-gql/pull/180,2020-03-14T20:28:53Z,MERGED,acorn,5.7.3,5.7.4,['GHSA-6chw-6frg-f759'],['MODERATE'],MODERATE
54,mobxjs/mst-gql,181,https://github.com/mobxjs/mst-gql/pull/181,2020-03-16T15:51:11Z,MERGED,acorn,6.3.0,6.4.1,['GHSA-6chw-6frg-f759'],['MODERATE'],MODERATE
55,mobxjs/mst-gql,182,https://github.com/mobxjs/mst-gql/pull/182,2020-03-16T15:51:20Z,MERGED,yarn,1.17.3,1.22.4,['GHSA-5xf4-f2fq-f69j'],['MODERATE'],MODERATE
56,mobxjs/mst-gql,183,https://github.com/mobxjs/mst-gql/pull/183,2020-03-16T15:52:27Z,MERGED,handlebars,4.1.2,4.7.3,['GHSA-w457-6q6x-cgp9'],['HIGH'],HIGH
57,mobxjs/mst-gql,184,https://github.com/mobxjs/mst-gql/pull/184,2020-03-16T16:04:18Z,CLOSED,yarn,1.19.1,1.22.4,['GHSA-5xf4-f2fq-f69j'],['MODERATE'],MODERATE
58,mobxjs/mst-gql,185,https://github.com/mobxjs/mst-gql/pull/185,2020-03-16T16:04:25Z,MERGED,yarn,1.15.2,1.22.4,"['GHSA-5xf4-f2fq-f69j', 'GHSA-wqfc-cr59-h64p']","['MODERATE', 'HIGH']",HIGH
59,mobxjs/mst-gql,186,https://github.com/mobxjs/mst-gql/pull/186,2020-03-16T16:05:17Z,CLOSED,yarn,1.17.3,1.22.4,['GHSA-5xf4-f2fq-f69j'],['MODERATE'],MODERATE
60,mobxjs/mst-gql,187,https://github.com/mobxjs/mst-gql/pull/187,2020-03-16T16:05:22Z,MERGED,yarn,1.17.3,1.22.4,['GHSA-5xf4-f2fq-f69j'],['MODERATE'],MODERATE
61,mobxjs/mst-gql,188,https://github.com/mobxjs/mst-gql/pull/188,2020-03-16T16:05:25Z,MERGED,yarn,1.19.1,1.22.4,['GHSA-5xf4-f2fq-f69j'],['MODERATE'],MODERATE
62,mobxjs/mst-gql,196,https://github.com/mobxjs/mst-gql/pull/196,2020-03-31T13:30:38Z,CLOSED,next,9.0.5,9.3.2,['GHSA-fq77-7p7r-83rj'],['MODERATE'],MODERATE
63,poanetwork/tokenbridge,255,https://github.com/poanetwork/tokenbridge/pull/255,2019-12-28T09:26:46Z,MERGED,handlebars,4.1.2,4.5.3,['GHSA-w457-6q6x-cgp9'],['HIGH'],HIGH
64,poanetwork/tokenbridge,305,https://github.com/poanetwork/tokenbridge/pull/305,2020-04-05T11:19:30Z,MERGED,acorn,5.7.3,5.7.4,['GHSA-6chw-6frg-f759'],['MODERATE'],MODERATE
65,binary-com/deriv-app,315,https://github.com/binary-com/deriv-app/pull/315,2019-08-27T09:37:08Z,MERGED,eslint-utils,1.4.0,1.4.2,['GHSA-3gx7-xhv7-5mx3'],['CRITICAL'],CRITICAL
66,binary-com/deriv-app,669,https://github.com/binary-com/deriv-app/pull/669,2019-12-29T15:05:47Z,CLOSED,handlebars,4.1.2,4.5.3,['GHSA-w457-6q6x-cgp9'],['HIGH'],HIGH
67,binary-com/deriv-app,670,https://github.com/binary-com/deriv-app/pull/670,2019-12-29T18:06:25Z,CLOSED,handlebars,4.1.2,4.5.3,['GHSA-w457-6q6x-cgp9'],['HIGH'],HIGH
68,binary-com/deriv-app,687,https://github.com/binary-com/deriv-app/pull/687,2020-01-10T06:45:32Z,CLOSED,handlebars,4.1.2,4.6.0,['GHSA-w457-6q6x-cgp9'],['HIGH'],HIGH
69,binary-com/deriv-app,767,https://github.com/binary-com/deriv-app/pull/767,2020-02-05T07:53:51Z,MERGED,handlebars,4.1.2,4.7.3,['GHSA-w457-6q6x-cgp9'],['HIGH'],HIGH
70,binary-com/deriv-app,896,https://github.com/binary-com/deriv-app/pull/896,2020-03-23T02:42:27Z,MERGED,acorn,6.3.0,6.4.1,['GHSA-6chw-6frg-f759'],['MODERATE'],MODERATE
71,binary-com/deriv-app,897,https://github.com/binary-com/deriv-app/pull/897,2020-03-23T02:42:40Z,MERGED,acorn,5.7.3,5.7.4,['GHSA-6chw-6frg-f759'],['MODERATE'],MODERATE
72,RedHatInsights/frontend-components,139,https://github.com/RedHatInsights/frontend-components/pull/139,2019-09-11T14:06:26Z,MERGED,bootstrap-sass,3.3.7,3.4.1,['GHSA-wh77-3x4m-4q9g'],['MODERATE'],MODERATE
73,RedHatInsights/frontend-components,140,https://github.com/RedHatInsights/frontend-components/pull/140,2019-09-11T14:06:55Z,MERGED,lodash.template,4.4.0,4.5.0,['GHSA-jf85-cpcp-j695'],['HIGH'],HIGH
74,RedHatInsights/frontend-components,141,https://github.com/RedHatInsights/frontend-components/pull/141,2019-09-11T14:07:07Z,MERGED,lodash-es,4.17.11,4.17.15,['GHSA-jf85-cpcp-j695'],['HIGH'],HIGH
75,RedHatInsights/frontend-components,402,https://github.com/RedHatInsights/frontend-components/pull/402,2020-03-16T14:27:46Z,MERGED,acorn,5.7.3,5.7.4,['GHSA-6chw-6frg-f759'],['MODERATE'],MODERATE
76,rage/concepts,269,https://github.com/rage/concepts/pull/269,2019-08-27T00:32:18Z,CLOSED,eslint-utils,1.4.0,1.4.2,['GHSA-3gx7-xhv7-5mx3'],['CRITICAL'],CRITICAL
77,rage/concepts,270,https://github.com/rage/concepts/pull/270,2019-08-27T06:32:49Z,CLOSED,eslint-utils,1.4.0,1.4.2,['GHSA-3gx7-xhv7-5mx3'],['CRITICAL'],CRITICAL
78,rage/concepts,481,https://github.com/rage/concepts/pull/481,2019-12-28T11:00:23Z,CLOSED,handlebars,4.2.1,4.5.3,['GHSA-w457-6q6x-cgp9'],['HIGH'],HIGH
79,rage/concepts,550,https://github.com/rage/concepts/pull/550,2020-03-13T23:46:05Z,CLOSED,acorn,5.7.3,5.7.4,['GHSA-6chw-6frg-f759'],['MODERATE'],MODERATE
80,rage/concepts,551,https://github.com/rage/concepts/pull/551,2020-03-14T00:52:13Z,CLOSED,acorn,7.1.0,7.1.1,['GHSA-6chw-6frg-f759'],['MODERATE'],MODERATE
81,CodyJasonBennett/portfolio,3,https://github.com/CodyJasonBennett/portfolio/pull/3,2019-06-06T07:26:13Z,MERGED,js-yaml,3.13.0,3.13.1,['GHSA-8j8c-7jfh-h6hx'],['HIGH'],HIGH
82,CodyJasonBennett/portfolio,6,https://github.com/CodyJasonBennett/portfolio/pull/6,2019-07-11T12:02:40Z,CLOSED,lodash.template,4.4.0,4.5.0,['GHSA-jf85-cpcp-j695'],['HIGH'],HIGH
83,CodyJasonBennett/portfolio,7,https://github.com/CodyJasonBennett/portfolio/pull/7,2019-07-13T08:14:42Z,CLOSED,lodash,4.17.11,4.17.14,['GHSA-jf85-cpcp-j695'],['HIGH'],HIGH
84,CodyJasonBennett/portfolio,8,https://github.com/CodyJasonBennett/portfolio/pull/8,2019-08-26T23:42:18Z,CLOSED,eslint-utils,1.3.1,1.4.2,['GHSA-3gx7-xhv7-5mx3'],['CRITICAL'],CRITICAL
85,CodyJasonBennett/portfolio,9,https://github.com/CodyJasonBennett/portfolio/pull/9,2019-08-27T00:28:55Z,CLOSED,eslint-utils,1.3.1,1.4.2,['GHSA-3gx7-xhv7-5mx3'],['CRITICAL'],CRITICAL
86,CodyJasonBennett/portfolio,12,https://github.com/CodyJasonBennett/portfolio/pull/12,2020-03-14T14:57:10Z,MERGED,acorn,7.1.0,7.1.1,['GHSA-6chw-6frg-f759'],['MODERATE'],MODERATE
87,replicatedhq/kotsadm,744,https://github.com/replicatedhq/kotsadm/pull/744,2019-11-19T17:08:05Z,MERGED,lodash,4.17.11,4.17.13,['GHSA-jf85-cpcp-j695'],['HIGH'],HIGH
88,replicatedhq/kotsadm,745,https://github.com/replicatedhq/kotsadm/pull/745,2019-11-19T17:08:18Z,MERGED,lodash,4.17.11,4.17.13,['GHSA-jf85-cpcp-j695'],['HIGH'],HIGH
89,replicatedhq/kotsadm,746,https://github.com/replicatedhq/kotsadm/pull/746,2019-11-19T17:08:21Z,MERGED,mixin-deep,1.3.1,1.3.2,['GHSA-fhjf-83wg-r2j9'],['HIGH'],HIGH
90,replicatedhq/kotsadm,747,https://github.com/replicatedhq/kotsadm/pull/747,2019-11-19T17:08:22Z,MERGED,stringstream,0.0.5,0.0.6,['GHSA-mf6x-7mm4-x2g7'],['MODERATE'],MODERATE
91,replicatedhq/kotsadm,748,https://github.com/replicatedhq/kotsadm/pull/748,2019-11-19T17:08:25Z,MERGED,lodash.merge,4.6.1,4.6.2,['GHSA-jf85-cpcp-j695'],['HIGH'],HIGH
92,replicatedhq/kotsadm,749,https://github.com/replicatedhq/kotsadm/pull/749,2019-11-19T17:08:30Z,MERGED,is-my-json-valid,2.17.1,2.20.0,['GHSA-f522-ffg8-j8r6'],['LOW'],LOW
93,replicatedhq/kotsadm,1092,https://github.com/replicatedhq/kotsadm/pull/1092,2020-02-19T16:56:46Z,MERGED,eslint-utils,1.3.1,1.4.3,['GHSA-3gx7-xhv7-5mx3'],['CRITICAL'],CRITICAL
94,replicatedhq/kotsadm,1093,https://github.com/replicatedhq/kotsadm/pull/1093,2020-02-19T16:56:47Z,MERGED,mixin-deep,1.3.1,1.3.2,['GHSA-fhjf-83wg-r2j9'],['HIGH'],HIGH
95,replicatedhq/kotsadm,1094,https://github.com/replicatedhq/kotsadm/pull/1094,2020-02-19T16:56:47Z,MERGED,lodash-es,4.17.11,4.17.15,['GHSA-jf85-cpcp-j695'],['HIGH'],HIGH
96,replicatedhq/kotsadm,1245,https://github.com/replicatedhq/kotsadm/pull/1245,2020-03-23T16:19:37Z,MERGED,acorn,5.7.3,5.7.4,['GHSA-6chw-6frg-f759'],['MODERATE'],MODERATE
97,replicatedhq/kotsadm,1343,https://github.com/replicatedhq/kotsadm/pull/1343,2020-04-16T22:45:46Z,MERGED,https-proxy-agent,2.2.1,2.2.4,['GHSA-pc5p-h8pf-mvwp'],['HIGH'],HIGH
98,replicatedhq/kotsadm,1344,https://github.com/replicatedhq/kotsadm/pull/1344,2020-04-16T23:40:52Z,MERGED,https-proxy-agent,2.2.1,2.2.4,['GHSA-pc5p-h8pf-mvwp'],['HIGH'],HIGH
99,gab-ai-inc/defiant-browser,38,https://github.com/gab-ai-inc/defiant-browser/pull/38,2020-03-16T18:24:58Z,CLOSED,acorn,5.7.3,5.7.4,['GHSA-6chw-6frg-f759'],['MODERATE'],MODERATE
100,tacoinfra/developers.tezos.com,44,https://github.com/tacoinfra/developers.tezos.com/pull/44,2020-03-14T17:52:32Z,MERGED,acorn,6.4.0,6.4.1,['GHSA-6chw-6frg-f759'],['MODERATE'],MODERATE
101,voluntarily/vly2,180,https://github.com/voluntarily/vly2/pull/180,2019-07-11T03:22:35Z,MERGED,lodash.merge,4.6.1,4.6.2,['GHSA-jf85-cpcp-j695'],['HIGH'],HIGH
102,voluntarily/vly2,202,https://github.com/voluntarily/vly2/pull/202,2019-07-13T20:38:35Z,MERGED,lodash,4.17.11,4.17.13,['GHSA-jf85-cpcp-j695'],['HIGH'],HIGH
103,voluntarily/vly2,326,https://github.com/voluntarily/vly2/pull/326,2019-08-26T23:19:38Z,CLOSED,eslint-utils,1.3.1,1.4.2,['GHSA-3gx7-xhv7-5mx3'],['CRITICAL'],CRITICAL
104,voluntarily/vly2,436,https://github.com/voluntarily/vly2/pull/436,2019-10-28T19:18:21Z,MERGED,mongoose,5.6.4,5.7.5,['GHSA-8687-vv9j-hgph'],['MODERATE'],MODERATE
105,voluntarily/vly2,738,https://github.com/voluntarily/vly2/pull/738,2020-03-14T14:18:30Z,MERGED,acorn,7.1.0,7.1.1,['GHSA-6chw-6frg-f759'],['MODERATE'],MODERATE
106,HumanRightsMeasurementInitiative/hrmi-dataportal,119,https://github.com/HumanRightsMeasurementInitiative/hrmi-dataportal/pull/119,2020-04-04T20:09:32Z,CLOSED,minimist,1.2.0,1.2.5,['GHSA-vh95-rmgr-6w4m'],['LOW'],LOW
107,Terralego/terra-front,165,https://github.com/Terralego/terra-front/pull/165,2019-12-29T23:16:43Z,MERGED,handlebars,4.1.2,4.5.3,['GHSA-w457-6q6x-cgp9'],['HIGH'],HIGH
108,yafp/ttth,179,https://github.com/yafp/ttth/pull/179,2020-03-13T23:47:13Z,CLOSED,acorn,7.1.0,7.1.1,['GHSA-6chw-6frg-f759'],['MODERATE'],MODERATE
109,DeyLak/redux-restify,3,https://github.com/DeyLak/redux-restify/pull/3,2019-10-29T16:34:43Z,CLOSED,lodash,4.17.4,4.17.13,"['GHSA-x5rq-j2xg-h7qm', 'GHSA-jf85-cpcp-j695', 'GHSA-4xc9-xhrj-v574', 'GHSA-fvqr-27wr-82fm']","['MODERATE', 'HIGH', 'HIGH', 'LOW']",HIGH
110,DeyLak/redux-restify,4,https://github.com/DeyLak/redux-restify/pull/4,2019-11-06T16:21:28Z,OPEN,eslint,3.19.0,4.18.2,['GHSA-jcgq-xh2f-2hfm'],['LOW'],LOW
111,DeyLak/redux-restify,5,https://github.com/DeyLak/redux-restify/pull/5,2019-11-06T16:21:41Z,OPEN,mem,1.1.0,4.3.0,['GHSA-4xcv-9jjx-gfj3'],['LOW'],LOW
112,DeyLak/redux-restify,6,https://github.com/DeyLak/redux-restify/pull/6,2019-11-06T16:21:50Z,OPEN,stringstream,0.0.5,0.0.6,['GHSA-mf6x-7mm4-x2g7'],['MODERATE'],MODERATE
113,DeyLak/redux-restify,7,https://github.com/DeyLak/redux-restify/pull/7,2019-11-06T16:21:55Z,CLOSED,handlebars,4.0.10,4.5.1,['GHSA-q42p-pg8m-cqh6'],['CRITICAL'],CRITICAL
114,DeyLak/redux-restify,8,https://github.com/DeyLak/redux-restify/pull/8,2019-11-06T16:22:02Z,OPEN,js-yaml,3.9.1,3.13.1,"['GHSA-2pr6-76vf-7546', 'GHSA-8j8c-7jfh-h6hx']","['MODERATE', 'HIGH']",HIGH
115,DeyLak/redux-restify,9,https://github.com/DeyLak/redux-restify/pull/9,2019-11-06T16:22:20Z,CLOSED,is-my-json-valid,2.16.1,2.20.0,['GHSA-f522-ffg8-j8r6'],['LOW'],LOW
116,DeyLak/redux-restify,10,https://github.com/DeyLak/redux-restify/pull/10,2019-11-06T16:22:43Z,CLOSED,lodash-es,4.17.4,4.17.15,['GHSA-jf85-cpcp-j695'],['HIGH'],HIGH
117,DeyLak/redux-restify,12,https://github.com/DeyLak/redux-restify/pull/12,2019-12-06T14:47:17Z,CLOSED,handlebars,4.0.10,4.5.3,['GHSA-q42p-pg8m-cqh6'],['CRITICAL'],CRITICAL
118,DeyLak/redux-restify,15,https://github.com/DeyLak/redux-restify/pull/15,2020-02-07T10:11:36Z,CLOSED,handlebars,4.0.10,4.7.3,"['GHSA-w457-6q6x-cgp9', 'GHSA-q42p-pg8m-cqh6']","['HIGH', 'CRITICAL']",CRITICAL
119,biuuu/ShinyColors,24,https://github.com/biuuu/ShinyColors/pull/24,2019-06-07T21:34:03Z,MERGED,ecstatic,3.3.1,3.3.2,['GHSA-9q64-mpxx-87fg'],['HIGH'],HIGH
120,biuuu/ShinyColors,30,https://github.com/biuuu/ShinyColors/pull/30,2019-07-11T06:28:49Z,MERGED,lodash,4.17.11,4.17.13,['GHSA-jf85-cpcp-j695'],['HIGH'],HIGH
121,biuuu/ShinyColors,34,https://github.com/biuuu/ShinyColors/pull/34,2019-09-05T08:52:58Z,MERGED,mixin-deep,1.3.1,1.3.2,['GHSA-fhjf-83wg-r2j9'],['HIGH'],HIGH
122,biuuu/ShinyColors,47,https://github.com/biuuu/ShinyColors/pull/47,2020-03-13T23:28:35Z,MERGED,acorn,7.1.0,7.1.1,['GHSA-6chw-6frg-f759'],['MODERATE'],MODERATE
123,aws-amplify/community,216,https://github.com/aws-amplify/community/pull/216,2020-02-06T22:18:24Z,CLOSED,mixin-deep,1.3.1,1.3.2,['GHSA-fhjf-83wg-r2j9'],['HIGH'],HIGH
124,aws-amplify/community,217,https://github.com/aws-amplify/community/pull/217,2020-02-06T22:18:26Z,CLOSED,lodash.defaultsdeep,4.6.0,4.6.1,['GHSA-jf85-cpcp-j695'],['HIGH'],HIGH
