,repository,package,fix_commit,dep_file_fix_version,lock_file_fix_version,latest_version,latest_stable_version,pr_version,vulnerable_version,fix_date,latest_version_date,latest_stable_version_date,pr_date,pr_number,lock_file_type
19,AdguardTeam/Scriptlets,js-yaml,1fc5737d06bd6629484cd3d7ee58084fb0a9abae,^3.13.1,3.12.1,3.13.1,3.13.1,3.13.1,3.12.1,2019-06-06 13:10:03+03:00,2019-04-05T16:15:22.531Z,2019-04-05T16:15:22.531Z,2019-06-06T05:15:54Z,27,yarn.lock
20,AdguardTeam/Scriptlets,lodash,4924a55ae8a0118ad0f23ae08d6b1618c5ffe8a0,,4.17.15,4.17.15,4.17.15,4.17.14,4.17.11,2019-11-22 16:24:48+03:00,2019-07-19T02:28:46.584Z,2019-07-19T02:28:46.584Z,2019-07-13T02:07:33Z,33,yarn.lock
21,AdguardTeam/Scriptlets,eslint-utils,4924a55ae8a0118ad0f23ae08d6b1618c5ffe8a0,,1.4.3,1.4.3,1.4.3,1.4.2,1.3.1,2019-11-22 16:24:48+03:00,2019-10-20T12:52:13.144Z,2019-10-20T12:52:13.144Z,2019-08-26T21:59:58Z,40,yarn.lock
22,AdguardTeam/Scriptlets,mixin-deep,4924a55ae8a0118ad0f23ae08d6b1618c5ffe8a0,,1.3.2,2.0.1,2.0.1,1.3.2,1.3.1,2019-11-22 16:24:48+03:00,2019-06-19T17:47:14.541Z,2019-06-19T17:47:14.541Z,2019-08-29T19:31:40Z,41,yarn.lock
23,AdguardTeam/Scriptlets,acorn,e3429b0f42f23bee6733e5ce5f88a65643e97576,,7.1.1,7.1.1,7.1.1,7.1.1,7.1.0,2020-04-20 14:40:39+03:00,2020-03-01T12:39:27.836Z,2020-03-01T12:39:27.836Z,2020-03-13T23:18:42Z,72,yarn.lock
24,Amsterdam/signals-frontend,eslint,a75999c32f45358a75db5c807f5d5e12e31cf571,^6.5.1,6.5.1,6.5.1,6.5.1,4.18.2,3.19.0,2019-10-18 09:54:56+02:00,2019-10-01T01:51:06.635Z,2019-10-01T01:51:06.635Z,2019-08-30T14:04:59Z,302,package-lock.json
25,Amsterdam/signals-frontend,minimist,0519f5c608ab9e8722eb6f7cd041c98a0008ac9b,^1.2.5,1.2.5,1.2.5,1.2.5,1.2.2,1.2.0,2020-03-18 07:46:03+01:00,2020-03-12T22:16:19.463Z,2020-03-12T22:16:19.463Z,2020-03-17T04:32:45Z,681,package-lock.json
26,ArcBlock/forge-js,lodash,37f24893cbaf515e2e0b03fa545c7141bac31eb6,,4.17.15,4.17.15,4.17.15,4.17.15,4.17.10,2019-08-09 06:24:40+08:00,2019-07-19T02:28:46.584Z,2019-07-19T02:28:46.584Z,2019-07-20T13:47:04Z,338,yarn.lock
27,ArcBlock/forge-js,lodash,37f24893cbaf515e2e0b03fa545c7141bac31eb6,,4.17.15,4.17.15,4.17.15,4.17.13,4.17.10,2019-08-09 06:24:40+08:00,2019-07-19T02:28:46.584Z,2019-07-19T02:28:46.584Z,2019-07-22T02:02:39Z,339,yarn.lock
28,ArcBlock/forge-js,js-yaml,37f24893cbaf515e2e0b03fa545c7141bac31eb6,,3.13.1,3.13.1,3.13.1,3.13.1,3.12.0,2019-08-09 06:24:40+08:00,2019-04-05T16:15:22.531Z,2019-04-05T16:15:22.531Z,2019-08-08T22:12:54Z,344,yarn.lock
