repository,start_commits_total,end_commits_total,total_authors,package.json,mocha,jest,jasmine,karma,puppeteer,nightwatch,cypress,playwright,selenium-webdriver,github_actions,circleci,travisci,appveyor,jenkins,gitlab,azure,size,age
lane711/sonicjs,257,1625,5,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,120.74,1020
mika-cn/maoxian-web-clipper,126,673,4,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,3.22,1026
sencha/ext-react,672,1317,19,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,70.19,1027
inc2734/snow-monkey-blocks,394,1125,15,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,26.26,1027
optoolco/components,767,1468,14,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,8.11,1037
sc-voice/sc-voice,664,1929,15,1,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,21.91,1028
girder/girder_web_components,187,402,16,1,0,0,0,0,0,0,0,0,0,-1,5,-1,-1,-1,-1,-1,19.49,1032
pxblue/themes,119,787,19,1,0,0,0,0,0,0,0,0,0,-1,25,-1,-1,-1,-1,-1,2.25,1033
facebook/fbt,178,850,126,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,14.57,952
gridsome/gridsome,694,1137,124,1,0,1,0,0,1,0,0,0,0,-1,1,-1,-1,-1,-1,-1,8.14,1034
peeranha/peeranha-web,107,660,12,1,0,1,0,0,0,0,0,0,0,-1,1,0,0,-1,-1,-1,23.96,1036
PDNMX/pdn,656,1439,11,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,130.81,1035
sheinsight/shineout,1501,2643,39,1,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,61.01,1235
laravel/nova-docs,414,841,83,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,9.84,1037
kubesphere/docs.kubesphere.io,753,1682,44,1,0,1,0,0,0,0,0,0,0,-1,-1,21,-1,0,-1,-1,296.42,1040
Optum/mockiato,1367,1558,14,1,1,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1,2.71,1041
razzius/weave,378,907,6,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,8.63,1140
apexcharts/apexcharts.js,960,2193,121,1,0,1,0,0,1,0,0,0,0,-1,-1,0,-1,-1,-1,-1,56.72,1042
asyncapi/generator,173,720,54,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,5.1,1042
tillhub/schemas,727,2403,32,1,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,-1,-1,-1,12.11,1043
tobeyadr/Groundhogg,721,1787,8,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,67.5,1044
maidsafe/safenetwork.tech,248,366,21,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,138.08,1046
ifyour/github-trending-archive,335,1112,4,1,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1,3.61,1046
goodrain/rainbond-ui,594,2455,19,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,-1,-1,-1,33.5,1047
tech-conferences/conference-data,1717,5373,101,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,13.02,1050
liquality/liquality-swap,349,808,11,1,0,0,0,0,0,0,0,0,0,-1,-1,18,-1,-1,-1,-1,8.78,1050
ecency/ecency-mobile,4763,25554,21,1,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,164.49,1053
dcloudio/uni-app,669,8420,189,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,1955.84,355
Tsuk1ko/cq-picsearcher-bot,181,535,5,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,29.47,1055
shockpkg/packages,114,292,1,1,0,0,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,4.12,1057
common-voice/sentence-collector,319,1002,31,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,16.81,1058
eggheadio/how-to-egghead,197,398,36,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,49.05,1062
corestate55/netoviz,264,476,3,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,17.24,1062
