repository,package,ghsa,fix_commit,dep_file_fix_version,lock_file_fix_version,latest_version,latest_stable_version,pr_version,vulnerable_version,fix_date,latest_version_date,latest_stable_version_date,pr_date,pr_number,lock_file_type
CANDY-LINE/candy-red,extend,GHSA-qrmc-fj45-qfc2,19605e6bb4ca021a893ab38959330a39d8975a86,,3.0.2,3.0.2,3.0.2,3.0.2,3.0.1,2019-11-14 18:38:39+09:00,2018-07-19T20:28:11.447Z,2018-07-19T20:28:11.447Z,2019-11-14T09:14:49Z,44,package-lock.json
CANDY-LINE/candy-red,mixin-deep,GHSA-fhjf-83wg-r2j9,81678271cb2a15388f690959698a2c19baabd44a,,1.3.2,2.0.1,2.0.1,1.3.2,1.3.1,2019-11-27 16:00:06+09:00,2019-06-19T17:47:14.541Z,2019-06-19T17:47:14.541Z,2019-11-14T09:14:50Z,45,package-lock.json
CANDY-LINE/candy-red,handlebars,GHSA-q42p-pg8m-cqh6,fee7597dd2b72f39741de7bd2832c2381e3a4573,,4.0.14,4.5.2,4.5.2,4.0.14,4.0.11,2019-11-14 20:06:31+09:00,2019-11-13T21:08:11.678Z,2019-11-13T21:08:11.678Z,2019-11-14T09:14:52Z,46,package-lock.json
CMSgov/design-system,lodash,GHSA-x5rq-j2xg-h7qm,2cbc4d6be0fe86344235e91992b6d1d04e82ace5,^4.17.14,4.17.4,4.17.14,4.17.14,4.17.14,4.17.4,2019-07-12 09:52:01-04:00,2019-07-10T15:44:39.173Z,2019-07-10T15:44:39.173Z,2019-07-13T20:24:59Z,461,yarn.lock
CMSgov/design-system,lodash,GHSA-x5rq-j2xg-h7qm,2cbc4d6be0fe86344235e91992b6d1d04e82ace5,^4.17.14,4.17.4,4.17.14,4.17.14,4.17.14,4.17.4,2019-07-12 09:52:01-04:00,2019-07-10T15:44:39.173Z,2019-07-10T15:44:39.173Z,2019-07-13T20:25:03Z,462,yarn.lock
CMSgov/design-system,lodash,GHSA-x5rq-j2xg-h7qm,2cbc4d6be0fe86344235e91992b6d1d04e82ace5,^4.17.14,4.17.4,4.17.14,4.17.14,4.17.13,4.17.11,2019-07-12 09:52:01-04:00,2019-07-10T15:44:39.173Z,2019-07-10T15:44:39.173Z,2019-07-20T13:21:23Z,466,yarn.lock
CMSgov/design-system,lodash,GHSA-jf85-cpcp-j695,2cbc4d6be0fe86344235e91992b6d1d04e82ace5,^4.17.14,4.17.4,4.17.14,4.17.14,4.17.14,4.17.4,2019-07-12 09:52:01-04:00,2019-07-10T15:44:39.173Z,2019-07-10T15:44:39.173Z,2019-07-13T20:24:59Z,461,yarn.lock
CMSgov/design-system,lodash,GHSA-jf85-cpcp-j695,2cbc4d6be0fe86344235e91992b6d1d04e82ace5,^4.17.14,4.17.4,4.17.14,4.17.14,4.17.14,4.17.4,2019-07-12 09:52:01-04:00,2019-07-10T15:44:39.173Z,2019-07-10T15:44:39.173Z,2019-07-13T20:25:03Z,462,yarn.lock
CMSgov/design-system,lodash,GHSA-jf85-cpcp-j695,2cbc4d6be0fe86344235e91992b6d1d04e82ace5,^4.17.14,4.17.4,4.17.14,4.17.14,4.17.13,4.17.11,2019-07-12 09:52:01-04:00,2019-07-10T15:44:39.173Z,2019-07-10T15:44:39.173Z,2019-07-20T13:21:23Z,466,yarn.lock
CMSgov/design-system,lodash,GHSA-4xc9-xhrj-v574,2cbc4d6be0fe86344235e91992b6d1d04e82ace5,^4.17.14,4.17.4,4.17.14,4.17.14,4.17.14,4.17.4,2019-07-12 09:52:01-04:00,2019-07-10T15:44:39.173Z,2019-07-10T15:44:39.173Z,2019-07-13T20:24:59Z,461,yarn.lock
