ghsa_id,type,severity,published_at,github_reviewed_at,cvss_score,package,vulnerable_version_range,first_patched_version
GHSA-4q6p-r6v2-jvc5,reviewed,high,2023-09-27 20:16:00,2023-09-27 20:16:00,7.50,get-func-name,< 2.0.1,2.0.1
GHSA-45c3-c4c3-8rqg,reviewed,high,2023-09-22 00:30:03,2023-09-22 17:08:03,7.50,@frangoteam/fuxa,<= 1.1.12,
GHSA-p46g-8c3q-89p2,reviewed,critical,2023-09-22 00:30:03,2023-09-22 20:00:02,9.80,fuxa-server,<= 1.1.12,
GHSA-wwfj-h843-3hrq,reviewed,high,2023-09-22 00:30:03,2023-09-22 20:00:03,7.50,fuxa-server,<= 1.1.12,
GHSA-v9q5-9crp-92f9,reviewed,high,2023-09-22 00:30:03,2023-09-22 20:00:03,7.50,fuxa-server,<= 1.1.12,
GHSA-gx6r-qc2v-3p3v,reviewed,critical,2023-09-21 17:15:05,2023-09-21 17:15:05,9.80,systeminformation,">= 5.0.0, < 5.21.7",5.21.7
GHSA-xrpm-hccg-28x7,reviewed,medium,2023-09-21 09:30:02,2023-09-21 17:17:02,6.50,nocodb,< 0.96.0,0.96.0
GHSA-9pv7-vfvm-6vr7,reviewed,medium,2023-09-20 06:30:05,2023-09-21 17:03:01,5.30,graphql,">= 16.3.0, < 16.8.1",16.8.1
GHSA-95xr-cq6h-vwr3,reviewed,medium,2023-09-19 06:30:02,2023-09-21 17:08:02,6.10,jodit,= 4.0.0-beta.86,
GHSA-6f9p-g466-f8v8,reviewed,medium,2023-09-19 06:30:02,2023-09-21 17:07:04,6.50,blamer,< 1.0.4,1.0.4
GHSA-r87q-fq37-pvr6,reviewed,critical,2023-09-18 21:30:04,2023-09-19 15:55:06,9.80,@frangoteam/fuxa,<= 1.1.13,
GHSA-22rr-f3p8-5gf8,reviewed,high,2023-09-15 17:12:04,2023-09-15 17:12:04,7.60,directus,< 10.6.0,10.6.0
GHSA-24q2-59hm-rh9r,reviewed,high,2023-09-13 16:32:03,2023-09-13 16:32:03,7.30,@strapi/admin,< 4.12.1,4.12.1
GHSA-24q2-59hm-rh9r,reviewed,high,2023-09-13 16:32:03,2023-09-13 16:32:03,7.30,@strapi/plugin-users-permissions,< 4.12.1,4.12.1
GHSA-m284-85mf-cgrc,reviewed,medium,2023-09-13 16:31:04,2023-09-13 16:31:04,6.80,@strapi/plugin-content-manager,< 4.12.1,4.12.1
GHSA-v8gg-4mq2-88q4,reviewed,medium,2023-09-13 16:31:03,2023-09-13 16:31:03,5.80,@strapi/plugin-content-manager,< 4.11.7,4.11.7
GHSA-v8gg-4mq2-88q4,reviewed,medium,2023-09-13 16:31:03,2023-09-13 16:31:03,5.80,@strapi/admin,< 4.11.7,4.11.7
GHSA-v8gg-4mq2-88q4,reviewed,medium,2023-09-13 16:31:03,2023-09-13 16:31:03,5.80,@strapi/utils,< 4.11.7,4.11.7
GHSA-j7hp-h8jx-5ppr,reviewed,high,2023-09-12 15:30:02,2023-09-14 16:20:05,8.80,libwebp-sys2,< 0.1.8,0.1.8
GHSA-j7hp-h8jx-5ppr,reviewed,high,2023-09-12 15:30:02,2023-09-14 16:20:05,8.80,libwebp-sys,< 0.9.3,0.9.3
GHSA-j7hp-h8jx-5ppr,reviewed,high,2023-09-12 15:30:02,2023-09-14 16:20:05,8.80,electron,">= 22.0.0, < 22.3.24",22.3.24
GHSA-j7hp-h8jx-5ppr,reviewed,high,2023-09-12 15:30:02,2023-09-14 16:20:05,8.80,electron,">= 24.0.0, < 24.8.3",24.8.3
GHSA-j7hp-h8jx-5ppr,reviewed,high,2023-09-12 15:30:02,2023-09-14 16:20:05,8.80,electron,">= 25.0.0, < 25.8.1",25.8.1
GHSA-j7hp-h8jx-5ppr,reviewed,high,2023-09-12 15:30:02,2023-09-14 16:20:05,8.80,electron,">= 26.0.0, < 26.2.1",26.2.1
GHSA-j7hp-h8jx-5ppr,reviewed,high,2023-09-12 15:30:02,2023-09-14 16:20:05,8.80,electron,">= 27.0.0-beta.1, < 27.0.0-beta.2",27.0.0-beta.2
GHSA-j7hp-h8jx-5ppr,reviewed,high,2023-09-12 15:30:02,2023-09-14 16:20:05,8.80,SkiaSharp,">= 2.0.0, < 2.88.6",2.88.6
GHSA-j7hp-h8jx-5ppr,reviewed,high,2023-09-12 15:30:02,2023-09-14 16:20:05,8.80,github.com/chai2010/webp,>= 1.0.0,
GHSA-j7hp-h8jx-5ppr,reviewed,high,2023-09-12 15:30:02,2023-09-14 16:20:05,8.80,Pillow,< 10.0.1,10.0.1
GHSA-j7hp-h8jx-5ppr,reviewed,high,2023-09-12 15:30:02,2023-09-14 16:20:05,8.80,webp,< 0.2.6,0.2.6
GHSA-j7hp-h8jx-5ppr,reviewed,high,2023-09-12 15:30:02,2023-09-14 16:20:05,8.80,magick.net-q16-anycpu,< 13.3.0,13.3.0
GHSA-j7hp-h8jx-5ppr,reviewed,high,2023-09-12 15:30:02,2023-09-14 16:20:05,8.80,magick.net-q16-hdri-anycpu,< 13.3.0,13.3.0
GHSA-j7hp-h8jx-5ppr,reviewed,high,2023-09-12 15:30:02,2023-09-14 16:20:05,8.80,magick.net-q16-x64,< 13.3.0,13.3.0
GHSA-j7hp-h8jx-5ppr,reviewed,high,2023-09-12 15:30:02,2023-09-14 16:20:05,8.80,magick.net-q8-anycpu,< 13.3.0,13.3.0
GHSA-j7hp-h8jx-5ppr,reviewed,high,2023-09-12 15:30:02,2023-09-14 16:20:05,8.80,magick.net-q8-openmp-x64,< 13.3.0,13.3.0
GHSA-j7hp-h8jx-5ppr,reviewed,high,2023-09-12 15:30:02,2023-09-14 16:20:05,8.80,magick.net-q8-x64,< 13.3.0,13.3.0
GHSA-7x97-j373-85x5,reviewed,medium,2023-09-06 19:51:03,2023-09-06 19:51:03,6.10,electron,< 22.3.19,22.3.19
GHSA-7x97-j373-85x5,reviewed,medium,2023-09-06 19:51:03,2023-09-06 19:51:03,6.10,electron,">= 23.0.0-alpha.1, < 23.3.13",23.3.13
GHSA-7x97-j373-85x5,reviewed,medium,2023-09-06 19:51:03,2023-09-06 19:51:03,6.10,electron,">= 24.0.0-alpha.1, < 24.7.1",24.7.1
GHSA-7x97-j373-85x5,reviewed,medium,2023-09-06 19:51:03,2023-09-06 19:51:03,6.10,electron,">= 25.0.0-alpha.1, < 25.5.0",25.5.0
GHSA-7x97-j373-85x5,reviewed,medium,2023-09-06 19:51:03,2023-09-06 19:51:03,6.10,electron,">= 26.0.0-alpha.1, < 26.0.0-beta.13",26.0.0-beta.13
GHSA-p7v2-p9m8-qqg7,reviewed,medium,2023-09-06 19:50:06,2023-09-06 19:50:06,6.00,electron,< 22.3.6,22.3.6
GHSA-p7v2-p9m8-qqg7,reviewed,medium,2023-09-06 19:50:06,2023-09-06 19:50:06,6.00,electron,">= 23.0.0-alpha.1, < 23.2.3",23.2.3
GHSA-p7v2-p9m8-qqg7,reviewed,medium,2023-09-06 19:50:06,2023-09-06 19:50:06,6.00,electron,">= 24.0.0-alpha.1, < 24.0.1",24.0.1
GHSA-p7v2-p9m8-qqg7,reviewed,medium,2023-09-06 19:50:06,2023-09-06 19:50:06,6.00,electron,">= 25.0.0-alpha.1, < 25.0.0-alpha.2",25.0.0-alpha.2
GHSA-gxh7-wv9q-fwfr,reviewed,high,2023-09-06 18:42:02,2023-09-06 18:42:02,7.50,electron,">= 22.0.0-beta.1, < 22.0.1",22.0.1
GHSA-gxh7-wv9q-fwfr,reviewed,high,2023-09-06 18:42:02,2023-09-06 18:42:02,7.50,electron,">= 23.0.0-alpha.1, < 23.0.0-alpha.2",23.0.0-alpha.2
GHSA-fcv6-fg5r-jm9q,reviewed,high,2023-09-04 22:40:04,2023-09-04 22:40:04,7.50,parse-server,">= 1.0.0, < 5.5.5",5.5.5
GHSA-fcv6-fg5r-jm9q,reviewed,high,2023-09-04 22:40:04,2023-09-04 22:40:04,7.50,parse-server,">= 6.0.0, < 6.2.2",6.2.2
GHSA-vp4f-wxgw-7x8x,reviewed,high,2023-09-04 16:36:03,2023-09-04 16:36:03,7.50,@dcl/single-sign-on-client,< 0.1.0,0.1.0
GHSA-j5g3-5c8r-7qfx,reviewed,low,2023-08-30 21:24:06,2023-08-30 21:24:06,,@apollo/server,< 4.9.3,4.9.3
GHSA-j5g3-5c8r-7qfx,reviewed,low,2023-08-30 21:24:06,2023-08-30 21:24:06,,apollo-server-core,">= 3.0.0, < 3.12.1",3.12.1
GHSA-j5g3-5c8r-7qfx,reviewed,low,2023-08-30 21:24:06,2023-08-30 21:24:06,,apollo-server-core,< 2.26.1,2.26.1
GHSA-95rp-6gqp-6622,reviewed,critical,2023-08-30 20:08:06,2023-08-30 20:08:06,9.80,find-exec,< 1.0.3,1.0.3
GHSA-vmf9-6pcv-xr87,reviewed,medium,2023-08-29 23:34:05,2023-08-29 23:34:05,5.30,@goauthentik/api,">= 2023.6.0, < 2023.6.2",2023.6.2
GHSA-vmf9-6pcv-xr87,reviewed,medium,2023-08-29 23:34:05,2023-08-29 23:34:05,5.30,@goauthentik/api,< 2023.5.6,2023.5.6
GHSA-hpx4-r86g-5jrg,reviewed,medium,2023-08-29 23:33:03,2023-08-29 23:33:03,5.00,@adobe/css-tools,< 4.3.1,4.3.1
GHSA-vxvm-qww3-2fh7,reviewed,medium,2023-08-29 18:31:05,2023-08-30 21:20:04,4.20,mongodb/mongodb,">= 1.0.0, < 1.9.2",1.9.2
GHSA-vxvm-qww3-2fh7,reviewed,medium,2023-08-29 18:31:05,2023-08-30 21:20:04,4.20,mongodb,">= 3.6.0, < 3.6.10",3.6.10
GHSA-vxvm-qww3-2fh7,reviewed,medium,2023-08-29 18:31:05,2023-08-30 21:20:04,4.20,mongodb,">= 4.0.0, < 4.17.0",4.17.0
GHSA-vxvm-qww3-2fh7,reviewed,medium,2023-08-29 18:31:05,2023-08-30 21:20:04,4.20,mongodb,">= 5.0.0, < 5.8.0",5.8.0
GHSA-vxvm-qww3-2fh7,reviewed,medium,2023-08-29 18:31:05,2023-08-30 21:20:04,4.20,https://github.com/mongodb/mongo-swift-driver,">= 1.0.0, < 1.1.1",1.1.1
GHSA-ch3c-v47x-4pgp,reviewed,medium,2023-08-29 17:36:04,2023-08-29 17:36:04,4.30,openpgp,< 4.10.11,4.10.11
GHSA-ch3c-v47x-4pgp,reviewed,medium,2023-08-29 17:36:04,2023-08-29 17:36:04,4.30,openpgp,">= 5.0.0, < 5.10.1",5.10.1
GHSA-3x59-vrmc-5mx6,reviewed,medium,2023-08-24 22:16:02,2023-08-24 22:16:02,4.80,@webiny/react-rich-text-renderer,<= 5.37.1,5.37.2
GHSA-q4pp-j36h-3gqg,reviewed,low,2023-08-24 12:53:01,2023-08-24 12:53:01,,basti-cdk,< 1.0.1,1.0.1
GHSA-j55r-787p-m549,reviewed,high,2023-08-22 18:00:00,2023-08-22 18:00:00,8.60,shescape,< 1.7.4,1.7.4
GHSA-vx8m-6fhw-pccw,reviewed,medium,2023-08-21 20:13:01,2023-08-21 20:13:01,5.30,@node-saml/node-saml,< 4.0.5,4.0.5
GHSA-5p42-m6f3-hpmj,reviewed,critical,2023-08-17 00:30:03,2023-08-17 19:06:03,9.80,tree-kit,< 0.7.5,0.7.5
GHSA-v7v8-gjv7-ffmr,reviewed,medium,2023-08-16 21:00:03,2023-08-16 21:00:03,6.10,@excalidraw/excalidraw,< 0.15.3,0.15.3
GHSA-fr9g-2m2h-c27j,reviewed,medium,2023-08-16 06:30:02,2023-08-16 21:00:02,6.10,@excalidraw/excalidraw,< 0.15.3,0.15.3
GHSA-9c9v-w225-v5rg,reviewed,medium,2023-08-15 20:35:02,2023-08-15 20:35:02,4.90,ghost,< 5.59.1,5.59.1
GHSA-9cvc-v7wm-992c,reviewed,medium,2023-08-15 20:04:01,2023-08-15 20:04:01,5.30,@keystone-6/core,< 5.5.1,5.5.1
GHSA-xc2r-jf2x-gjr8,reviewed,critical,2023-08-14 21:32:03,2023-08-14 21:32:03,9.80,external-svg-loader,< 1.6.9,1.6.9
GHSA-7h45-grc5-89wq,reviewed,medium,2023-08-14 21:14:01,2023-08-14 21:14:01,5.40,svelecte,< 3.16.3,3.16.3
GHSA-g4vp-m682-qqmp,reviewed,medium,2023-08-11 19:00:05,2023-08-11 19:00:05,5.30,@openzeppelin/contracts,">= 4.0.0, < 4.9.3",4.9.3
GHSA-g4vp-m682-qqmp,reviewed,medium,2023-08-11 19:00:05,2023-08-11 19:00:05,5.30,@openzeppelin/contracts-upgradeable,">= 4.0.0, < 4.9.3",4.9.3
GHSA-cx3j-qqxj-9597,reviewed,medium,2023-08-11 18:57:05,2023-08-11 18:57:05,6.10,critters,">= 0.0.17, <= 0.0.19",0.0.20
GHSA-7vxc-q7rv-qfj8,reviewed,medium,2023-08-11 15:30:05,2023-08-11 22:16:04,6.50,node-worker-threads-pool,<= 1.4.3,
GHSA-jfrf-vv54-j2jg,reviewed,medium,2023-08-11 15:30:05,2023-08-11 22:06:06,6.10,braft-editor,<= 2.3.8,
GHSA-g3vf-47fv-8f3c,reviewed,critical,2023-08-11 15:30:05,2023-08-11 22:08:04,9.80,hellojs,< 1.18.8,1.18.8
GHSA-f8pq-3926-8gx5,reviewed,high,2023-08-09 20:59:01,2023-08-09 20:59:01,8.10,@opentelemetry/instrumentation,">= 0.40.0, < 0.41.2",0.41.2
GHSA-9c4h-3f7h-322r,reviewed,critical,2023-08-09 14:43:02,2023-08-09 14:43:02,9.80,ses,">= 0.13.0, < 0.13.5",0.13.5
GHSA-9c4h-3f7h-322r,reviewed,critical,2023-08-09 14:43:02,2023-08-09 14:43:02,9.80,ses,">= 0.14.0, < 0.14.5",0.14.5
GHSA-9c4h-3f7h-322r,reviewed,critical,2023-08-09 14:43:02,2023-08-09 14:43:02,9.80,ses,">= 0.15.0, < 0.15.24",0.15.24
GHSA-9c4h-3f7h-322r,reviewed,critical,2023-08-09 14:43:02,2023-08-09 14:43:02,9.80,ses,= 0.16.0,0.16.1
GHSA-9c4h-3f7h-322r,reviewed,critical,2023-08-09 14:43:02,2023-08-09 14:43:02,9.80,ses,= 0.17.0,0.17.1
GHSA-9c4h-3f7h-322r,reviewed,critical,2023-08-09 14:43:02,2023-08-09 14:43:02,9.80,ses,">= 0.18.0, < 0.18.7",0.18.7
GHSA-r3hf-q8q7-fv2p,reviewed,high,2023-08-09 12:51:05,2023-08-09 12:51:05,,@nguniversal/common,">= 16.1.0, < 16.1.2",16.1.2
GHSA-5r27-rw8r-7967,reviewed,high,2023-08-08 19:26:04,2023-08-08 19:26:04,8.10,import-in-the-middle,<= 1.4.1,1.4.2
GHSA-3pmj-jqqp-2mj3,reviewed,medium,2023-08-04 17:26:05,2023-08-04 17:26:05,5.80,matrix-appservice-irc,<= 1.0.0,1.0.1
GHSA-vc7j-h8xg-fv5x,reviewed,medium,2023-08-04 17:26:03,2023-08-04 17:26:03,5.00,matrix-appservice-bridge,">= 4.0.0, < 8.1.2",8.1.2
GHSA-vc7j-h8xg-fv5x,reviewed,medium,2023-08-04 17:26:03,2023-08-04 17:26:03,5.00,matrix-appservice-bridge,= 9.0.0,9.0.1
GHSA-c7hh-3v6c-fj4q,reviewed,low,2023-08-04 17:26:01,2023-08-04 17:26:01,3.50,matrix-appservice-irc,<= 1.0.0,1.0.1
GHSA-g6w6-h933-4rc5,reviewed,critical,2023-08-03 19:44:05,2023-08-03 19:44:05,9.80,@soketi/soketi,< 1.6.0,1.6.0
GHSA-8c93-4hch-xgxp,reviewed,medium,2023-08-03 16:34:03,2023-08-03 16:34:03,5.70,wrangler,< 2.20.1,2.20.1
GHSA-rrxv-q8m4-wch3,reviewed,medium,2023-08-01 19:48:03,2023-08-01 19:48:03,4.90,@ensdomains/ens-contracts,<= 0.0.21,0.0.22
GHSA-5r98-f33j-g8h7,reviewed,high,2023-08-01 17:00:06,2023-08-01 17:00:06,7.50,pnpm,< 7.33.4,7.33.4
GHSA-5r98-f33j-g8h7,reviewed,high,2023-08-01 17:00:06,2023-08-01 17:00:06,7.50,@pnpm/exe,< 7.33.4,7.33.4
GHSA-5r98-f33j-g8h7,reviewed,high,2023-08-01 17:00:06,2023-08-01 17:00:06,7.50,@pnpm/linux-arm64,< 7.33.4,7.33.4
GHSA-5r98-f33j-g8h7,reviewed,high,2023-08-01 17:00:06,2023-08-01 17:00:06,7.50,@pnpm/linux-x64,< 7.33.4,7.33.4
GHSA-5r98-f33j-g8h7,reviewed,high,2023-08-01 17:00:06,2023-08-01 17:00:06,7.50,@pnpm/linuxstatic-arm64,< 7.33.4,7.33.4
GHSA-5r98-f33j-g8h7,reviewed,high,2023-08-01 17:00:06,2023-08-01 17:00:06,7.50,@pnpm/macos-arm64,< 7.33.4,7.33.4
GHSA-5r98-f33j-g8h7,reviewed,high,2023-08-01 17:00:06,2023-08-01 17:00:06,7.50,@pnpm/macos-x64,< 7.33.4,7.33.4
GHSA-5r98-f33j-g8h7,reviewed,high,2023-08-01 17:00:06,2023-08-01 17:00:06,7.50,@pnpm/win-x64,< 7.33.4,7.33.4
GHSA-5r98-f33j-g8h7,reviewed,high,2023-08-01 17:00:06,2023-08-01 17:00:06,7.50,@pnpm/cafs,< 7.0.5,7.0.5
GHSA-5r98-f33j-g8h7,reviewed,high,2023-08-01 17:00:06,2023-08-01 17:00:06,7.50,pnpm,">= 8.0.0, < 8.6.8",8.6.8
GHSA-5r98-f33j-g8h7,reviewed,high,2023-08-01 17:00:06,2023-08-01 17:00:06,7.50,@pnpm/exe,">= 8.0.0, < 8.6.8",8.6.8
GHSA-5r98-f33j-g8h7,reviewed,high,2023-08-01 17:00:06,2023-08-01 17:00:06,7.50,@pnpm/linux-arm64,">= 8.0.0, < 8.6.8",8.6.8
