,repository,package,ghsa,fix_commit,fix_commit_parent,date,committer_date,source,dep_file_fix,lockfile_fix,dep_file_inspired,lockfile_inspired,inspired,fix_time
1406,vuejs/vue,serialize-javascript,GHSA-h9rv-jmmf-4pgx,fc41f913124b4c9cfdc9670392009774c7fc85ad,70429c3713a497c0659fb67d61b000a3125325d2,2019-12-13 14:51:41-05:00,2019-12-13 14:51:41-05:00,GITHUB,1,1,0,0,0,"6,12"
1407,webpack/webpack.js.org,lodash.template,GHSA-jf85-cpcp-j695,8e13a876c1eb850f185540c0ae29bdabed021ec6,e1ba3a64db06b8b6966eadf28c43cdaf9fa34e2d,2019-08-15T16:50:54+03:00,2019-08-15T16:50:54+03:00,SOFTWARE_HERITAGE,0,1,0,0,0,"1,22"
1408,webpack/webpack.js.org,handlebars,GHSA-w457-6q6x-cgp9,f5a399c1b77d6d461a048eb17356d4a93545d97d,6f2fc24df1944cff1be201d89763fa14d44a224e,2019-12-28T13:14:59+02:00,2019-12-28T13:14:59+02:00,SOFTWARE_HERITAGE,1,1,0,0,0,"0,9"
1409,webpack/webpack.js.org,minimist,GHSA-vh95-rmgr-6w4m,eb48677d3dec74b8fafd551dc01154ebc6153147,1729100de47bcdf28523e60115a209faf3339dfe,2020-03-18T20:53:23+02:00,2020-03-18T20:53:23+02:00,SOFTWARE_HERITAGE,1,0,1,0,1,"2,14"
1410,webpack/webpack.js.org,minimist,GHSA-vh95-rmgr-6w4m,22dcb8a1ce7e2a1b02aa4cd6c99af0a69fba2ea7,e605b6423a907881a90ed5b729c5c3270c8236ba,2020-04-05 12:53:53+02:00,2020-04-05 12:53:53+02:00,GITHUB,1,1,1,0,1,"0,3"
1411,wellcomecollection/wellcomecollection.org,handlebars,GHSA-q42p-pg8m-cqh6,cd5c70cb8632e25e2788af2cf4103058f1cdb05d,c8089ecd375530525a8590649c884013a425530d,2019-07-01 15:51:12+01:00,2019-07-02 13:35:43+01:00,GITHUB,0,1,0,0,0,"1,1"
1412,wellcomecollection/wellcomecollection.org,acorn,GHSA-6chw-6frg-f759,2ae457d4d9d63c554bbdddfb9f166d1233c514d5,a3e87f4520e1a645df04da0658bf47ed33f4c626,2020-04-03 11:00:58+01:00,2020-04-03 11:00:58+01:00,GITHUB,0,0,0,0,0,
1413,wellcomecollection/wellcomecollection.org,next,GHSA-fq77-7p7r-83rj,1b7ff975c4e81d9d9157945ed84312f8ba8c9406,22627e5d76b22ef0047f102f2ee7c2c13e15fdb9,2020-04-23 11:08:23+01:00,2020-04-23 11:08:23+01:00,GITHUB,0,1,0,0,0,"22,19"
1414,welldone-software/why-did-you-render,acorn,GHSA-6chw-6frg-f759,218ff0a03c7fc97464c5b00388559668202667c0,4b50e76114684dd71e67ddbdf5de0398940a5c47,2020-07-17 09:16:06+03:00,2020-07-17 09:16:23+03:00,GITHUB,0,1,0,0,0,"125,7"
1415,wesbos/Syntax,acorn,GHSA-6chw-6frg-f759,defaff5deec53fbc5fdc8d14f9916898a437c2de,4cbf97b69c285dbfc73e05a95c9b6018c39fa876,2020-06-24 12:04:32-04:00,2020-06-24 12:04:32-04:00,GITHUB,0,1,0,1,1,"84,22"
